id,name_primary,name_alt1,name_alt2,name_alt3,group,country,river_area,district_resort,lat,lng,coord_confidence,notes,source,mz_clinic
12,Apatou,,,,Aluku / Ndyuka / mixed,French Guiana,Maroni River (lower),Apatou commune,5.150962,-54.341335,high,"Founded 1882 as Moutendé; renamed after Captain Apatou; mixed Aluku, Paramaka, Ndyuka, Saramaka; road opened 2010; GPS verified by Google Earth",Wikipedia (Apatou),no
13,Anapaïké,Lawa (old name),,,Aluku / Wayana,French Guiana,Upper Lawa / Maroni headwaters,Maripasoula commune,3.300,-53.950,low,Upper Lawa village; historically first called 'Cottica' then 'Lawa' by Wayana; now Anapaïké,French journal (ethnoecologie),no
14,Maripasoula,,,,Aluku / Wayana,French Guiana,Lawa / Maroni River,Maripasoula commune,3.642495,-54.034582,high,Largest commune in France by area; administrative hub; airport; mainly Aluku and Wayana; GPS verified by Google Earth,Wikipedia (Maripasoula),no
15,Galibi,,,,Kalina (Indigenous),Suriname,Marowijne estuary,Marowijne,5.70714,-54.01466,high,[NON-MAROON — Indigenous settlement included for geographic context] Kalina (Indigenous) village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
16,Bitagron,Bitagro,,,Kwinti,Suriname,Coppename River,Boven Coppename,4.52,-56.790,high,Kwinti granman residence; historically important; partially destroyed 1987 civil war; rebuilt post-war,Wikipedia (Kwinti) / French source,yes
17,Kaaimanston,,,,Kwinti,Suriname,Coppename River,Boven Coppename,5.140,-56.090,medium,Kwinti village near Witagron on Coppename River; sister village to Witagron; partially destroyed during 1987 Interior War fighting with Jungle Commando; Donderskamp Airstrip serves both villages,Wikipedia (Kwinti people),yes
18,Kaimanston,Kaaimanston,,,Kwinti,Suriname,Coppename River,Boven Coppename,5.140,-56.090,medium,Kwinti village; Boven Coppename resort; sister village to Witagron; Planbureau Table 3.4 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
19,Witagron,Bitagron,,,Kwinti,Suriname,Coppename River,Boven Coppename,5.163,-56.074,high,Kwinti village on Coppename River; formerly Bitagron (renamed post-Interior War); residence of the Kwinti granman (head captain — Kwinti have no granman rank); at crossing of Southern East-West Link to Apoera; name means 'Land of my forefathers' in Sranan Tongo; MZ health centre; Kaaimanston is the sister Kwinti village nearby,Wikipedia (Witagron/Bitagron),yes
20,Asoenoebo,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.305,-56.395,low,Matawai village; ~1nm from Pakka-Pakka; listed in Wikipedia nearby village data,Wikipedia (Pakkapakka) — via nearby village list,no
21,Baling,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
22,Bethel (Matawai),Bethel,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; church: RK (Roman Catholic); Planbureau Table 3.4 Sipaliwini 2013 — distinct from Bethel (Paramaka) in Pamacca resort,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
23,Bilawatra,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013; church: RK,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
24,Boslanti (Matawai),Boslanti,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; school: EBGS Boslanti; electricity; church: EBG; Planbureau 2013 — distinct from Saramaka Boslanti (Brokopondo reservoir area),Planbureau Suriname Table 3.4 Sipaliwini 2013,no
25,Commisariskondre,,,,Matawai,Suriname,Saramacca River (lower),Kwakoegron,5.205,-55.905,low,Matawai village; captain of Kwakoegron resort resides here; Planbureau 2013 confirms 1 kapitein,Planbureau Suriname Table 3 Brokopondo 2013,no
26,Ebbatop,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.36,-56.360,medium,Matawai village; ecotourism promoted alongside Nieuw Jacobkondre and Poesoegroenoe; mentioned in Matawai people Wikipedia article,Wikipedia (Matawai people),no
27,Kwakoegron,Kwakoe,,,Matawai,Suriname,Saramacca River (lower),Kwakoegron,5.2,-55.900,high,Matawai village and resort; population 263 (2012); captain of resort resides in Commissariskondre; has school clinic and holiday resort; connected to Southern East-West Link by paved side road; Lawa Railway passed through 1910–1987; Brinckheuvel Nature Reserve nearby; 19th-century main Matawai settlement; MZ poli confirmed; patient base ~260; 1 GZA; 1 assistants; pharmacy,Wikipedia (Kwakoegron),yes
28,Kwattahede,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013; church: EBG,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
29,Makajapingo,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.32,-56.380,low,Matawai village; Catholic (unlike most Matawai which are Moravian); no school or clinic; has church; ~3.2nm from Stonkoe and Tabrikiekondre,Wikipedia (Makajapingo),no
30,Misalibi,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
31,Moetoetoetabriki,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.29,-56.410,low,Matawai village; ~7nm from Pakka-Pakka and Makajapingo; listed in Wikipedia nearby village data,Wikipedia (Makajapingo) — via nearby village list,no
32,Nieuw Jacobkondre,Njoeng Jacob Kondre,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.35,-56.370,high,Main administrative village of Boven Saramacca resort; road access to Southern East-West Link; Njoeng Jacob Kondre Airstrip; gold mining and logging; ecotourism promoted,Wikipedia (Boven Saramacca),yes
33,Padua,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013; electricity; church: RK,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
34,Pakka-Pakka,Pakkapakka,Pakkapakka 1 / 2,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.3,-56.400,medium,Matawai village; founded 1860s; originally housed both Matawai and Kwinti; no school or clinic but has church; school existed 1924; two sides: right bank (Pakkapakka 1) and left bank (Pakkapakka 2),Wikipedia (Pakkapakka),no
35,Pijeti,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013; electricity,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
36,Piniel,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
37,Poesoegroenoe,Pusugrunu,Psugrunu,Poesoegoenoe,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.39,-56.340,high,Residence of Matawai granman; medical post; airstrip (Poesoegroenoe Airstrip); road opened 2017 connecting to Atjoni; immune from malaria per PAHO; ecotourism promoted here,Wikipedia (Poesoegroenoe),yes
38,Stonkoe,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.31,-56.390,low,Matawai village near Pakka-Pakka (~6.3nm); listed as nearby village in Pakka-Pakka article,Wikipedia (Pakkapakka) — via nearby village list,no
39,Sukibaka,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
40,Tabrikiekondre,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.315,-56.385,low,Matawai village; ~3.2nm from Makajapingo; listed in Makajapingo nearby village data,Wikipedia (Makajapingo) — via nearby village list,no
41,Tevreden,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
42,Vertrouwen,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
43,Warnakomoponafaja,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.318,-56.383,low,Matawai village; ~2nm from Makajapingo; listed in Makajapingo nearby village data,Wikipedia (Makajapingo) — via nearby village list,no
44,Heidoti,,,,Matawai / Kwinti,Suriname,Saramacca River (upper),Boven Saramacca,4.28,-56.420,low,Matawai/Kwinti village; ~15.6nm from Pakka-Pakka; also listed in Joshua Project Kwinti data as a Kwinti village,Wikipedia (Pakkapakka) / Joshua Project,no
45,Abadukondre,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
46,Abenekondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
47,Abeso Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013; electricity: PART,Planbureau Suriname Table 4 Marowijne 2013,no
48,Abetwakondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
49,Acote,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
50,Adjuma kondre,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo Tapoe,,,low,Ndyuka village; Marowijne District; Moengo Tapoe resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
51,Agaigoni,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,5.050,-55.020,medium,Ndyuka village; same as or adjacent to Malobi (Planbureau Table 3.1 lists as Malobi/Agaigoni); Tapanahony resort; school: OS Malobi; electricity; church: Methodist; MZ clinic list also confirms Agaigoni,Wikipedia (Medische Zending) — MZ map,yes
52,Ageni-Dolin Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
53,Ajokajokampu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
54,Akalekondre,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
55,Akoloikondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; Marowijne District; Albina resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
56,Akujutukondre,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
57,Aneewakondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
58,Apoema,,,,Ndyuka,Suriname,Cottica River area / Marowijne,Marowijne / Wanhatti,5.350,-54.500,medium,Ndyuka village with MZ health post on Cottica or lower Marowijne river system; no individual Wikipedia article; MZ list confirms active clinic,Wikipedia (Medische Zending) — MZ map,yes
59,Apukakondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
60,Apumatapu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013; health post: HP,Planbureau Suriname Table 3.1 Sipaliwini 2013,yes
61,Asidonkondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
62,Asognekondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne,4.217935,-54.545434,high,Ndyuka village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
63,Atipakondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
64,Baikoetoe,Baikutu,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.045,-55.025,low,Ndyuka transmigration village; Sarakreek resort; 4 basjas; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
65,Bakoe,,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.048,-55.022,low,Ndyuka transmigration village; Sarakreek resort; near Lebidoti; 5 basjas; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
66,Bamboesi,,,,Ndyuka,Suriname,Marowijne River coast,Marowijne,5.535943,-54.03166,high,Ndyuka village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
67,Banavookonde,,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.042,-55.028,low,Ndyuka transmigration village; Sarakreek resort; 4 basjas; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
68,Bastionkondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
69,Bekiokonde,,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.052,-55.018,low,Ndyuka transmigration village; Sarakreek resort; 4 basjas; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
70,Benanu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
71,Benatti moffo,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
72,Benzdorp,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.67719,-54.087897,high,Ndyuka village; Tapanahony resort; Planbureau 2013; airstrip: Benzdorp (regular scheduled); GPS verified by Google Earth,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
73,Biakronie,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
74,Bigi Ston,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; Marowijne District; Albina resort; Planbureau 2013; health post: HP; school: Bigi Ston (OS); electricity: DEV,Planbureau Suriname Table 4 Marowijne 2013,yes
75,Compagniekreek,,,,Ndyuka,Suriname,Cottica / Commewijne river system,Baling Soela,5.3,-54.700,low,Ndyuka village in Baling Soela resort; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
76,Dablasiekondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
77,Daguhede,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
78,Dakonde,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
79,Dan Tapu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013; electricity: DEV*,Planbureau Suriname Table 4 Marowijne 2013,no
80,Diitabiki,Drietabbetje,Dritabiki,Drijtabiki,Ndyuka,Suriname,Tapanahoni River,Tapanahony,4.125925,-54.626822,high,Residence of the Ndyuka granman since 1950; location of the oracle; airstrip: Drietabbetje (regular scheduled); GPS verified by Google Earth,Wikipedia / Wikimili,yes
81,Duwatra,,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.038,-55.032,low,Ndyuka transmigration village; Sarakreek resort; 4 basjas; Planbureau 2013; also named in MZ ENT screening report; MZ poli confirmed; patient base ~660; 1 GZA; pharmacy,Planbureau Suriname Table 3 Brokopondo 2013,yes
82,Fisiti,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.76,-55.280,medium,Village on upper Tapanahoni; mentioned in oral history re. Paanza rice ancestor,Maroon Women rice article,no
83,Futupasi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.84,-55.300,medium,Railway crossing for Granholo waterfalls; ferry service point,Wikipedia (Dritabiki article),no
84,Gaanboli,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.75,-55.400,medium,Boundary point of Ndyuka territory on Tapanahoni,French Guiana Maroons report,no
85,Godo Ole,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,4.060486,-54.786795,high,Ndyuka village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
86,Godoholo,Godo Holo,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013; health post: HP; school: EBGS Godoholo; electricity; church: JG/EBGS,Planbureau Suriname Table 3.1 Sipaliwini 2013,yes
87,Gostu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013; church: JG,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
88,Granbori,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
89,Gransanti,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
90,Jawsa,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013; electricity,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
91,Kaminatabiki,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
92,Kasaba olo,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
93,Kisai,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013; electricity,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
94,Klementi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
95,Kofi Kamiza,,,,Ndyuka,Suriname,Marowijne / Lawa River,Marowijne,4.182932,-54.385317,high,Ndyuka village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
96,Kofikamisa,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
97,Koinakondre,,,,Ndyuka,Suriname,Suriname River / Sarakreek area,Marchallkreek,5.1,-55.050,low,Ndyuka village in Marchallkreek resort; 1 kapitein; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
98,Konikaikondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; Marowijne District; Albina resort; Planbureau 2013; electricity: EBS; water: SWM,Planbureau Suriname Table 4 Marowijne 2013,no
99,Krabu olo,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
100,Langa oekoe 1,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,"Ndyuka village; Marowijne District; Moengo resort; Planbureau 2013; NOTE: Langa oekoe = ""Long Creek"" in Sranan Tongo; Planbureau lists two settlements; likely opposite banks of same creek; anthropologist Köbben (1960s) based at Langa Uku upstream of Pikin Santi",Planbureau Suriname Table 4 Marowijne 2013,no
101,Langa oekoe 2,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,"Ndyuka village; Marowijne District; Moengo resort; Planbureau 2013; NOTE: Langa oekoe = ""Long Creek"" in Sranan Tongo; Planbureau lists two settlements; likely opposite banks of same creek; anthropologist Köbben (1960s) based at Langa Uku upstream of Pikin Santi",Planbureau Suriname Table 4 Marowijne 2013,no
102,Lanti we,Lantiwei,,,Ndyuka,Suriname,Cottica River,Marowijne — Wanhatti,,,low,Ndyuka village; Marowijne District; Wanhatti resort; Planbureau 2013; electricity: DEV*; confirmed as Lantiwei (Wikipedia) — Ndyuka village on Cottica River; opposite Pinatjaimi; founded Pinatjaimi from here,Planbureau Suriname Table 4 Marowijne 2013,no
103,Lebidotie,Lebidoti,,,Ndyuka,Suriname,Suriname River (lower reservoir),Sarakreek,5.040,-55.030,high,Ndyuka transmigration village; pop. ~1000; relocated when Brokopondo Reservoir created 1964; two nearby villages Bakoe and Pitean; Sarakreek resort; MZ poli confirmed; patient base ~1630; 1 GZA; 1 assistants; pharmacy,Wikipedia (Lebidoti),yes
104,Lemkibontabiki,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
105,Loabi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
106,Lobotu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
107,Mainsi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.89,-55.180,medium,Village close to Diitabiki,Wikipedia (Dritabiki article),no
108,Malobi,Agaigoni,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,4.158046,-55.426167,high,Ndyuka village; Tapanahony resort; Planbureau 2013; GPS verified by Google Earth,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
109,Malokokondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; Marowijne District; Albina resort; Planbureau 2013; electricity: DEV*,Planbureau Suriname Table 4 Marowijne 2013,no
110,Manjabonkondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; Marowijne District; Albina resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
111,Marchallkreek,,,,Ndyuka,Suriname,Marchallkreek tributary,Marchallkreek,5.08,-55.070,medium,Ndyuka main village of Marchallkreek resort; 1 kapitein 7 basjas; Planbureau 2013; named after Captain Marshall who settled Suriname 1630; MZ poli confirmed; patient base ~195; 1 GZA; pharmacy,Planbureau Suriname Table 3 Brokopondo 2013,yes
112,Maria kondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
113,Me de nanga Lanti,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
114,Moitaki,Moitaki,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,4.127435,-54.650269,high,Ndyuka village near Gran Olo rapids; birthplace of gaanman Gazon Matodya; home of Misidyan lo (matrilinear clan); between Yawsa (upstream) and Puketi (downstream); electricity project underway; GPS verified by Google Earth,Wikipedia (Moitaki),no
115,Moiwana,,,,Ndyuka,Suriname,Cottica / Marowijne coastal area,Marowijne,5.43,-54.040,high,Site of 1986 massacre; historic Ndyuka village; monument established 2007. Near Albina on E-W road,Wikipedia / dark-tourism.com,no
116,Mongoskin,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
117,Mopi kondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013; health post: HP; school: Mopikondre (OS),Planbureau Suriname Table 4 Marowijne 2013,yes
118,Mpusu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
